počty,LCC,řaz1,řaz2,LCC-kategorie,LCC-slovní vyj.,Thema-znak,Thema-slovní vyj. ang.,Sémantická ztráta,pozn.,THEMA do záznamu (znak),THEMA do záznamu (slovně)
1,B105.E68,B1,05,,Europe,QDHR,Modern philosophy: since c 1800,BT,,,
1,B1873,B1,873,,Descartes,QDHM,Western philosophy: Enlightenment,BT,,,
1,B2430.B33973,B2,430,,Baudrillard,QDHR,Modern philosophy: since c 1800,BBT,,,
1,B2928.C7,B2,928,,Hegel,QDHR1,Idealism,BT,,,
1,B41,B4,1,,Philosophy (General) - Dictionaries,GBCD+QD,Subject dictionaries,EQS,,,
2,B48.C94,B4,8,,Philosophy (General) - Dictionaries,GBCD+QD,Subject dictionaries,EQS,,,
1,B51.4,B5,1,,Philosophy - Historiography,QDH,"History of philosophy, philosophical traditions",BT,,,
5,B505,B5,05,,Greco-Romans philisophy,QDHA,Ancient philosophy,EQS,,,
1,B721,B7,21,,Medieval philosophy,QDHF,Mediaeval philosophy,EQS,,,
1,B804,B8,04,,Philosophy - 20. cent.,QDHR,Modern philosophy: since c 1800,BT,,,
4,B809.2,B8,09,,Critical thinking,QDTL,Philosophy: logic,BT,,,
3,B809.8,B8,09,,Marxismus,QDHR,Modern philosophy: since c 1800,BT,,,
1,B842.5,B8,42,,Transhumanism,QDHR,Modern philosophy: since c 1800,BT,,,
4,B99.C94,B9,9,,Philosophy (general) - others,QDH,"History of philosophy, philosophical traditions",AT,,,
1,B945.D393,B9,45,,Dennett,QDHR,Modern philosophy: since c 1800,BT,,,
1,BC1,BC,1,,Logic. Periodical,QDTL,Philosophy: logic,EQS,,,
2,BC9,BC,9,,Logic… Dictionaries,QDTL,Philosophy: logic,BT,,,
1,BC76,BC,76,,Logic… Deductive…,QDTL,Philosophy: logic,BT,,,
1,BC114,BC,114,,Logic…,QDTL,Philosophy: logic,BT,,,
1,BC116,BC,116,,Logic…,QDTL,Philosophy: logic,BT,,,
1,BC135,BC,135,,Symbolic and mathematical logic,PBCD,Mathematical logic,NT,,,
1,BC172,BC,172,,Logic… Cathegory,QDTL,Philosophy: logic,BT,,,
2,BC177,BC,177,,Logic… Reasoning-…,QDTL,Philosophy: logic,BT,,,
2,BC181,BC,181,,Logic… Propositions…,QDTL,Philosophy: logic,BT,,,
1,BC199.M6,BC,199,,Logic… Modality,QDTL,Philosophy: logic,BT,,,
1,BC199.Q4,BC,199,,Logic… Question,QDTL,Philosophy: logic,BT,,,
1,BD161,BD,161,,Logic… Epistemology…,QDTK,Philosophy: epistemology & theory of knowledge,EQB,,,
1,BD166,BD,166,,Logic… Epistemology…,QDTK,Philosophy: epistemology & theory of knowledge,EQB,,,
1,BD171,BD,171,,Logic… Epistemology…,QDTK,Philosophy: epistemology & theory of knowledge,BT,,,
1,BD175,BD,175,,Logic… Epistemology…,QDTK,Philosophy: epistemology & theory of knowledge,BT,,,
1,BD181,BD,181,,Logic… Epistemology…,QDTK,Philosophy: epistemology & theory of knowledge,BT,,,
1,BD221,BD,221,,Logic… Epistemology…,QDTK,Philosophy: epistemology & theory of knowledge,BT,,,
1,BD255,BD,255,,Logic… Epistemology…,QDTK,Philosophy: epistemology & theory of knowledge,BT,,,
1,BD438.5,BD,438,,Ontology,QDTJ,Philosophy: metaphysics & ontology,BT,,,
1,BD511,BD,511,,Cosmology,QDTJ,Philosophy: metaphysics & ontology,BT,,,
1,BD701,BD,701,,Cosmology,QDTJ,Philosophy: metaphysics & ontology,BT,,,
1,BF8.C94,BF,8,,Periodicals,JMB,Psychological methodology,BT,,,
2,BF39,BF,39,,Psychometry,JMBT,Psychological testing & measurement,EQS,,,
2,BF76.5,BF,76,,Research (psychology),JMB,Psychological methodology,AT,,,
1,BF76.8,BF,76,,Communication in psychology,JMB,Psychological methodology,AT,,,
1,BF121,BF,121,,Psychology…,JM,Psychology,EQS,,,
1,BF126,BF,126,,Psychology…,JM,Psychology,EQS,,,
1,BF131,BF,131,,Psychology…,JM,Psychology,EQS,,,
5,BF139,BF,139,,Psychology…,JM,Psychology,EQS,,,
1,BF173,BF,173,,Psychoanalysis…,JMAF,Psychoanalytical & Freudian psychology,EQS,,,
1,BF237,BF,237,,Psychophysics,JMT,Psychology: states of consciousness,AT,,,
3,BF241,BF,241,,Visual percepcion…,JMR,Cognition & cognitive psychology,BT,,,
8,BF311,BF,311,,Consciouness. Cognition…,JMR,Cognition & cognitive psychology,BT,,,
1,BF323.L5,BF,323,,Listening…,JMR,Cognition & cognitive psychology,BT,,,
1,BF353,BF,353,,Environmental psychology…,JMA,"Psychological theory, systems, schools & viewpoints",BT,,,
1,BF353.5.N65,BF,353,,Noice…,JMA,"Psychological theory, systems, schools & viewpoints",BT,,,
1,BF378.F7,BF,378,,Forgetting….,JMR,Cognition & cognitive psychology,BT,,,
1,BF385,BF,385,,Memory training…,VSPT,Memory improvement & thinking techniques,EQB,,,
5,BF408,BF,408,,Creative processes…,JMR,Cognition & cognitive psychology,BT,,,
5,BF411,BF,411,,Psychology of inspiration…,JMR,Cognition & cognitive psychology,BT,,,
1,BF441,BF,441,,Thought and thinking…,JMR,Cognition & cognitive psychology,BT,,,
1,BF442,BF,442,,Reasoning…,JMR,Cognition & cognitive psychology,BT,,,
2,BF449,BF,449,,Problem solving…,JMR,Cognition & cognitive psychology,BT,,,
1,BF455,BF,455,,Psycholinguistics…,CFD,Psycholinguistics & cognitive linguistics,EQS,,,
1,BF456.N7,BF,456,,Psychology of reading…,CFD,Psycholinguistics & cognitive linguistics,BT,,,
1,BF481,BF,481,,Work…,JMR,Cognition & cognitive psychology,BT,,,
3,BF503,BF,503,,Motivation...,JMH,"Social, group or collective psychology",BT,,,
1,BF575.F14,BF,575,,Failure. Losing,JMQ,Psychology: emotions,BT,,,
1,BF575.S75,BF,575,,Stress,JMQ,Psychology: emotions,BT,,,
1,BF575.T7,BF,575,,Trust,JMQ,Psychology: emotions,BT,,,
1,BF632,BF,632,,Self-Control,JMS,"Psychology: the self, ego, identity, personality",BT,,,
2,BF636,BF,636,,Applied psychology,JMJ,Occupational & industrial psychology,NT,,,
1,BF637.C5,BF,637,,Conduct of life,JMC,"Child, developmental & lifespan psychology",BT,,,
1,BF637.N66,BF,637,,Nonverbal communication,JMHC,Interpersonal communication & skills,BT,,,
1,BF637.P36,BF,637,,Personal coaching,JMHC,Interpersonal communication & skills,BT,,,
2,BF637.P4,BF,637,,Persuasion,JMHC,Interpersonal communication & skills,BT,,,
1,BF637.P76,BF,637,,Procrastination,JMR,Cognition & cognitive psychology,BT,,,
1,BF637.S4,BF,637,,Self-realization,JMR,Cognition & cognitive psychology,BT,,,
3,BF637.S8,BF,637,,Success,JMR,Cognition & cognitive psychology,BT,,,
1,BF697,BF,697,,Differential psychology,JMC,"Child, developmental & lifespan psychology",EQB,,,
1,BF698.9.C63,BF,698,,Cognition...,JMR,Cognition & cognitive psychology,BT,,,
1,BF778,BF,778,,Psychology of values,JMS,"Psychology: the self, ego, identity, personality",AT,,,
1,BF1146,BF,1146,,Parapsychology…,JMX,Parapsychological studies,BT,,,
1,BF1779.F4,BF,1779,,Feng shui….,VXV,Feng Shui & approaches to living space design & style,EQS,,,
1,BH6,BH,6,,Periodicals,QDTN,Philosophy: aesthetics,BT,,,
1,BH56,BH,56,,Dictionaries,QDTN,Philosophy: aesthetics,BT,,,
1,BH201,BH,201,,Aesthetics - History ,QDTN,Philosophy: aesthetics,EQB,,,
1,BH301.L3,BH,301,,Landscape,QDTN,Philosophy: aesthetics,BT,zázn/notace,AMV,
1,BJ1031,BJ,1031,,Ethics,QDTQ,Ethics & moral philosophy,EQB,zázn/notace,QDTK,
1,BJ1431,BJ,1431,,Compromise. Tolerance,JBFV,Ethical issues & debates,BT,,,
1,BJ1533.C6,BJ,1533,,Confidence,JBFV,Ethical issues & debates,BT,,,
1,BJ1-1725,BJ,1-1725,,Ethics. General,QDTQ,Ethics & moral philosophy,EQB,,,
1,BL303,BL,303,,Mythology,QRS,Ancient religions & mythologies,EQB,,,
1,BL603,BL,603,,Symbols,GTT,"Flags, emblems, symbols, logos",EQB,,,
1,BX2590,BX,2590,,Monasticism,QRVS5,Religious communities & monasticism,EQS,,,
1,BX3045.C9,BX,3045,,Monasticism,QRVS5,Religious communities & monasticism,BT,,,
1,CB156,CB,156,,ET life,VXQB,UFOs & extraterrestrial beings,AT,,,
1,CB158,CB,158,,forecast of future progress,JBFZ,"Social forecasting, future studies",EQS,,,
1,CB161,CB,161,,Special forecasts,JBFZ,"Social forecasting, future studies",BT,,,
1,CB245,CB,245,,Western civilization,NHB,General & world history,BT,,,
1,CB430,CB,430,,Modern history,NHB,General & world history,BT,,,
2,CB478,CB,478,,Technology and civilization,NHTK,Industrialization & industrial history,NT,,,
1,CC13.R8,CC,13,,Archaeology,NK,Archaeology,EQT,,,
2,CC70,CC,70,,Dictionaries,NK,Archaeology,BT,,,
1,CC79.5.P6,CC,79,,Pottery,NKX,"Archaeological science, methodology & techniques",BT,,,
8,CC79.C5,CC,79,,Chemistry,NKX,"Archaeological science, methodology & techniques",BT,,,
1,CC80.4,CC,80,,Analysis,NKX,"Archaeological science, methodology & techniques",BT,,,
1,CC82.3,CC,82,,Drawings,NKX,"Archaeological science, methodology & techniques",BT,,,
1,CC97.C94,CC,97,,Other regions,NKD,Archaeology by period / region,BT,,,
7,CC135,CC,135,,"Preservation, Antiquities",NKX,"Archaeological science, methodology & techniques",BT,,,
3,CC137.M48,CC,137,,"Preservation, Antiquities",NKX,"Archaeological science, methodology & techniques",BT,,,
1,QD1$aCC137.W6b,CC137.W6b,1$aCC137,chemistry,,,,BT,sdružené LCC,NKX,"Archaeological science, methodology & techniques"
1,QD1$aCC75b,CC75b,1$aCC75b,chemistry,,,,BT,sdružené LCC,NKX,"Archaeological science, methodology & techniques"
3,QD1$aCC79.C5b,CC79.C5b,1$aCC79,chemistry,,,,BT,sdružené LCC,NKX,"Archaeological science, methodology & techniques"
2,CD973.D53,CD,973,,Digitization,NKX,"Archaeological science, methodology & techniques",BT,,,
1,CJ60.C95,CJ,60,,Coins - History,WCF,"Collecting coins, banknotes, medals & other related items",BT,,,
1,CJ67,CJ,67,,Coins - Enc.,WCF,"Collecting coins, banknotes, medals & other related items",BT,,,
1,CN77,CN,77,,Epigraphics,CFL,Palaeography,AT,,,
1,CR621,CR,621,,Heraldry,NHTG,"Genealogy, heraldry, names & honours",EQB,,,
1,CT193,CT,193,,Biography,DNB,Biography: general,EQB,,,
1,CT194,CT,194,,Biography,DNB,Biography: general,EQB,,,
3,CT933,CT,933,,Biography - Czech.,DNB,Biography: general,BT,,,
2,D12,D1,2,,Historical maps,NHTP1,Historical maps & atlases,EQS,,,
1,D16.117,D1,6,,History - Computer,NHTK,Industrialization & industrial history,BT,,,
1,D16.12,D1,6,,Data processing,NHTK,Industrialization & industrial history,BBT,,,
2,D117.A2,D1,17,,Early Medieval history,NHDJ,"European history: mediaeval period, middle ages",NT,,,
2,D1-DX301,D1,-DX301,,,GL,Library & information sciences / Museology,BT,chybné LCC?,,
10,D20,D2,0,,World histories,NHB,General & world history,EQS,,,
1,D21.1,D2,1,,Pictorial works,NHB,General & world history,BT,,,
3,D23,D2,3,,General popular works,NHB,General & world history,BT,,,
2,D24,D2,4,,Not restricted,NHB,General & world history,BT,,,
1,D25,D2,5,,Military history,NHW,Military history,EQT,,,
2,D208,D2,08,,General works,NHB,General & world history,BT,,,
4,D422,D4,22,,History / 20th cent.,NHB+3MP,"General & world history + 20th century, c 1900 to c 1999",EQS,,,
1,D503,D5,03,,WWI - museums,NHWR5,First World War,EQS,,,
1,D5,D5,,,History. Sources,NHAP,Historical research: source documents,EQS,,,
1,D65,D6,5,,History - Ancient,3B,Prehistory,EQS,,,
1,D70,D7,0,,Celts,NHDC,European history: the Celts,EQS,,,
2,D743,D7,43,,WWII,NHWR7,Second World War,EQT,,,
1,D781,D7,81,,Submarine,NHWR7+1DFG,Second World War + Germany,BT,,,
1,D786,D7,86,,Aerial operation,NHWR7+1DDU,Second World War + GB,BT,,,
2,D787,D7,87,,Aerial operation,NHWR7+1DFG,Second World War + Germany,BT,,,
1,D793,D7,93,,Tank operation,NHWR7,Second World War,BT,,,
1,D805.A2,D8,05,,Prisoners,NHWR7,Second World War,BT,,,
1,D840,D8,40,,Post-war history,NHB+3MPQ,General & world history + Later 20th century c 1950 to c 1999,EQS,,,
1,D856,D8,56,,Post-war history,NHB+3MPQZ,General & world history + c 1990 to c 1999,EQS,,,
1,D860,D8,60,,Post-war history,NHB+3MPQZ,General & world history + c 1990 to c 1999,BT,,,
1,D900,D9,00,,Europe-geography,NHTP,Historical geography,BT,,,
2,DA10.5,DA,10,,Commonwealth,NHD+1QFC,European history + Commonwealth,EQS,,,
1,DA90,DA,90,,England,NHD+1DDU-GB-E,European history + England,BT,,,
1,DA655,DA,655,,England,NHD+1DDU-GB-E,European history + England,BT,,,
1,DB65.5,DB,65,,Rudolf II,NHD+1QBDA,,BT,,,
1,DB217.B7,DB,217,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
1,DB998.9,DB,998,,Maďarsko,NHD+1DTH,,BT,,,
1,DB2004,DB,2004,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
1,DB2007,DB,2007,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
2,DB2011,DB,2011,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
2,DB2012,DB,2012,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
2,DB2013,DB,2013,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
3,DB2015,DB,2015,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
1,DB2017,DB,2017,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
2,DB2021,DB,2021,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
1,DB2050,DB,2050,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
2,DB2063,DB,2063,,Czechoslovakia,NHD+11QBDK,European history + Czechoslovakia,BT,,,
2,DB2081,DB,2081,,Czechoslovakia,NHD+11QBDK+3K,European history + Czechoslovakia,BT,,,
1,DB2082.45,DB,2082,,Czechoslovakia,NHD+11QBDK+3K,European history + Czechoslovakia,BT,,,
2,DB2086,DB,2086,,Czechoslovakia,NHD+11QBDK+3K,European history + Czechoslovakia,BT,,,
1,DB2087,DB,2087,,Czechoslovakia,NHD+11QBDK+3K,European history + Czechoslovakia,BT,,,
1,DB2098,DB,2098,,Czechoslovakia,NHD+11QBDK+3KLW,European history + Czechoslovakia,BT,,,
1,DB2178,DB,2178,,Czechoslovakia,NHD+11QBDK+3MN,European history + Czechoslovakia,BT,,,
1,DB2191.B45,DB,2191,,Czechoslovakia,NHD+11QBDK+3MPB,European history + Czechoslovakia,BT,,,
3,DB2207,DB,2207,,Czechoslovakia,NHD+11QBDK+3MPBLB,European history + Czechoslovakia,BT,,,
2,DB2315,DB,2315,,Moravia,NHD+1DTJ‑CZ‑XM,European history + Moravia,BT,,,
1,DB2330,DB,2330,,Moravia,NHD+1DTJ‑CZ‑XM,European history + Moravia,BT,,,
1,DB2500.Č47,DB,2500,,Český Těšín,NHTP+NHD+1DTJ‑CZ‑XS,European history + Moravia,BT,,,
1,DB2500.Č472,DB,2500,,České Bud.,NHTP+NHD+1DTJ‑CZ‑C,European history + SB,BT,,,
1,DB2500.J37,DB,2500,,Jaroměřice,NHTP+NHD+1DTJ‑CZ‑J,European history ,BT,,,
1,DB2500.J472,DB,2500,,Ješťed,NHTP+NHD+1DTJ‑CZ‑L,,BT,,,
2,DB2500.J553,DB,2500,,JČ kraj,NHTP+NHD+1DTJ‑CZ‑C,,BT,,,
2,DB2500.J555,DB,2500,,JM kraj,NHTP+NHD+1DTJ‑CZ‑B,,BT,,,
2,DB2500.K37,DB,2500,,Karlovarský kraj,NHTP+NHD+1DTJ‑CZ‑K,,BT,,,
1,DB2500.K53,DB,2500,,Klatovsko,NHTP+NHD+1DTJ‑CZ‑P,,BT,,,
1,DB2500.K66,DB,2500,,Kom. Hrádek,NHTP+NHD+1DTJ‑CZ‑S,,BT,,,
1,DB2500.K73,DB,2500,,KH kraj,NHTP+NHD+1DTJ‑CZ‑H,,BT,,,
1,DB2500.L43,DB,2500,,JM kraj,NHTP+NHD+1DTJ‑CZ‑B,,BT,,,
1,DB2500.M45,DB,2500,,Mělnicko,NHTP+NHD+1DTJ‑CZ‑S,,BT,,,
1,DB2500.N68,DB,2500,,Žehušice,NHTP+NHD+1DTJ‑CZ‑S,,BT,,,
1,DB2500.O37,DB,2500,,Ohrada,NHTP+NHD+1DTJ‑CZ‑C,,BT,,,
1,DB2500.O752,DB,2500,,Orlík,NHTP+NHD+1DTJ‑CZ‑C,,BT,,,
1,DB2500.S29,DB,2500,,Posázaví,NHTP+NHD+1DTJ‑CZ‑S,,BT,,,
1,DB2500.S76,DB,2500,,SČ kraj,NHTP+NHD+1DTJ‑CZ‑S,,BT,,,
2,DB2500.S96,DB,2500,,Šumava,NHTP+NHD+1DTJ‑CZ‑XBF,,BT,,,
1,DB2500.Š74,DB,2500,,Štětsko,NHTP+NHD+1DTJ‑CZ‑U,,BT,,,
2,DB2500.T33,DB,2500,,Táborsko,NHTP+NHD+1DTJ‑CZ‑C,,BT,,,
2,DB2500.V57,DB,2500,,Vltava,NHTP+NHD+1DTJ‑CZ‑XBV,,BT,,,
1,DB2500.Ž33,DB,2500,,ŽS,NHTP+NHD+1DTJ‑CZ‑J,,BT,,,
2,DB2600,DB,2600,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2606,DB,2606,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
6,DB2607,DB,2607,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
5,DB2610,DB,2610,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
3,DB2613,DB,2613,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2614,DB,2614,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
15,DB2620,DB,2620,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
2,DB2621,DB,2621,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
10,DB2626,DB,2626,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
3,DB2627,DB,2627,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2628,DB,2628,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
4,DB2629,DB,2629,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
16,DB2630,DB,2630,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2630 .K55,DB,2630 ,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2631.B74,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2631.B83,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2631.Č35,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2631.H36,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2631.H73,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2631.K36,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2631.M35,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
2,DB2631.N68,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2631.P63,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2631.S77,DB,2631,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2633.V58,DB,2633,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
2,DB2634,DB,2634,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2635.N36,DB,2635,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2635.P47,DB,2635,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
18,DB2648,DB,2648,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2649.B48,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2649.B87,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
2,DB2649.Č47,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2649.K54,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2649.L67,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2649.O24,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2649.S73,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2649.T76,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
2,DB2649.V58,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2649.Ž59,DB,2649,,Praha,NHTP+NHD+1DTJ‑CZ‑A,,BT,,,
1,DB2650.B47,DB,2650,,Beroun,NHTP+NHD+1DTJ‑CZ‑S,,BT,,,
1,DB2650.B69,DB,2650,,Boží Dar,NHTP+NHD+1DTJ‑CZ‑K,,BT,,,
5,DB2650.B75,DB,2650,,Brno,NHTP+NHD+1DTJ‑CZ‑B,,BT,,,
1,DB2650.B76,DB,2650,,Broumov,NHTP+NHD+1DTJ‑CZ‑H,,BT,,,
2,DB2650.C463,DB,2650,,ČB,NHTP+NHD+1DTJ‑CZ‑C,,BT,,,
1,DB2650.C47,DB,2650,,Český Dub,NHTP+NHD+1DTJ‑CZ‑L,,BT,,,
1,DB2650.C473,DB,2650,,Č. Krumlov,NHTP+NHD+1DTJ‑CZ‑C,,BT,,,
1,DB2650.D63,DB,2650,,Dobruška,NHTP+NHD+1DTJ‑CZ‑H,,BT,,,
1,DB2650.F79,DB,2650,,FM,NHTP+NHD+1DTJ‑CZ‑T,,BT,,,
1,DB2650.H65,DB,2650,,Holašovice,NHTP+NHD+1DTJ‑CZ‑C,,BT,,,
2,DB2650.H67,DB,2650,,Hořice,NHTP+NHD+1DTJ‑CZ‑H,,BT,,,
1,DB2650.H73,DB,2650,,HK,NHTP+NHD+1DTJ‑CZ‑H,,BT,,,
1,DB2650.H735,DB,2650,,Hranice,NHTP+NHD+1DTJ‑CZ‑M,,BT,,,
1,DB2650.H76,DB,2650,,Hrotovice,NHTP+NHD+1DTJ‑CZ‑J,,BT,,,
1,DB2650.CH43,DB,2650,,Cheb,NHTP+NHD+1DTJ‑CZ‑K,,BT,,,
1,DB2650.CH66,DB,2650,,Chomutov,NHTP+NHD+1DTJ‑CZ‑U,,BT,,,
1,DB2650.CH78,DB,2650,,Chrudim,NHTP+NHD+1DTJ‑CZ‑E,,BT,,,
1,DB2650.J47,DB,2650,,Jeseník,NHTP+NHD+1DTJ‑CZ‑M,,BT,,,
